"No.","Time","Source","Destination","Protocol","Length","Info"
"14","15:47:09.945011","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=5521 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"15","15:47:10.125270","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=6901 Win=9660 Len=0"
"16","15:47:10.205385","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=6901 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"17","15:47:10.225414","145.253.2.203","145.254.160.237","DNS","188","Standard query response 0x0023 A pagead2.googlesyndication.com CNAME pagead2.google.com CNAME pagead.google.akadns.net A 216.239.59.104 A 216.239.59.99"
"18","15:47:10.295515","145.254.160.237","216.239.59.99","HTTP","775","GET /pagead/ads?client=ca-pub-2309191948673629&random=1084443430285&lmt=1082467020&format=468x60_as&output=html&url=http%3A%2F%2Fwww.ethereal.com%2Fdownload.html&color_bg=FFFFFF&color_text=333333&color_link=000000&color_url=666633&color_border=666633 HTTP/1.1 "
"19","15:47:10.325558","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=8281 Win=9660 Len=0"
"20","15:47:10.686076","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=8281 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"21","15:47:10.806249","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [PSH, ACK] Seq=9661 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"22","15:47:10.806249","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=11041 Win=9660 Len=0"
"23","15:47:10.946451","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=11041 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"24","15:47:10.956465","216.239.59.99","145.254.160.237","TCP","54","80  >  3371 [ACK] Seq=1 Ack=722 Win=31460 Len=0"
"25","15:47:11.126710","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=12421 Win=9660 Len=0"
"26","15:47:11.226854","216.239.59.99","145.254.160.237","TCP","1484","80  >  3371 [PSH, ACK] Seq=1 Ack=722 Win=31460 Len=1430 [TCP segment of a reassembled PDU]"
"27","15:47:11.266912","216.239.59.99","145.254.160.237","HTTP","214","HTTP/1.1 200 OK  (text/html)"
"28","15:47:11.266912","145.254.160.237","216.239.59.99","TCP","54","3371  >  80 [ACK] Seq=722 Ack=1591 Win=8760 Len=0"
"29","15:47:11.417128","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [PSH, ACK] Seq=12421 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"30","15:47:11.527286","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=13801 Win=9660 Len=0"
"31","15:47:11.537300","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=13801 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"32","15:47:11.667488","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=15181 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"33","15:47:11.667488","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=16561 Win=9660 Len=0"
"34","15:47:11.807689","65.208.228.223","145.254.160.237","TCP","1434","80  >  3372 [ACK] Seq=16561 Ack=480 Win=6432 Len=1380 [TCP segment of a reassembled PDU]"
"35","15:47:11.807689","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=17941 Win=9660 Len=0"
"36","15:47:12.088092","216.239.59.99","145.254.160.237","TCP","1484","[TCP Spurious Retransmission] 80  >  3371 [PSH, ACK] Seq=1 Ack=722 Win=31460 Len=1430"
"37","15:47:12.088092","145.254.160.237","216.239.59.99","TCP","54","[TCP Dup ACK 28#1] 3371  >  80 [ACK] Seq=722 Ack=1591 Win=8760 Len=0"
"38","15:47:12.158193","65.208.228.223","145.254.160.237","HTTP/XML","478","HTTP/1.1 200 OK "
"39","15:47:12.328438","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=18365 Win=9236 Len=0"
"40","15:47:25.216971","65.208.228.223","145.254.160.237","TCP","54","80  >  3372 [FIN, ACK] Seq=18365 Ack=480 Win=6432 Len=0"
"41","15:47:25.216971","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [ACK] Seq=480 Ack=18366 Win=9236 Len=0"
"42","15:47:37.374452","145.254.160.237","65.208.228.223","TCP","54","3372  >  80 [FIN, ACK] Seq=480 Ack=18366 Win=9236 Len=0"
"43","15:47:37.704928","65.208.228.223","145.254.160.237","TCP","54","80  >  3372 [ACK] Seq=18366 Ack=481 Win=6432 Len=0"
